Task                                                                                                      , Branch, Start  , Priority, Finish
Reinitialize document list after deletion of a document                                                   , ui    , 6/4/26 , Low     , 6/22/26
Create new display branch separate from master                                                            , git   , 6/4/26 , Low     , 6/15/26
Add textbox for embedding and language models being used and update when they change                      , ui    , 6/4/26 , Medium  , 6/5/26
Add logging to file deletion to confirm file has been delete                                              , log   , 6/4/26 , High    , 6/5/26
Fix issues with avatar of chatbot and user                                                                , ui    , 6/5/26 , Low     , 
Display language and embedding models to user                                                             , ui    , 6/5/26 , High    , 6/5/26
Add counter for number of documents in Management accordion                                               , ui    , 6/5/26 , Medium  , 6/5/26
Add ability to adjust k in advanced features                                                              , ui    , 6/5/26 , Low     , 6/7/26
Update tag list in between uses                                                                           , ui    , 6/5/26 , High    , 6/5/26
If user adds tags to a specific document get those to the master list                                     , ui    , 6/6/26 , Low     , 
Get error for using wrong embedding to query database                                                     , git   , 6/6/26 , Low     , 
Add ability to adjust score threshold in advanced features                                                , ui    , 6/6/26 , Low     , 6/7/26
Save k chunks and threshold in settings between uses                                                      , ui    , 6/7/26 , Medium  , 6/7/26
Live stream log file(s) into new tab                                                                      , log   , 6/7/26 , High    , 6/7/26
Prefix documents (add in ability to turn on or off)                                                       , rag   , 6/7/26 , Medium  , 
Selectively add metadata tags to documents                                                                , rag   , 6/7/26 , Medium  , 6/21/26
Adjust to Docker                                                                                          , docker, 6/18/26, High    , 6/18/26
Have Rules and Tags lists be global across all users                                                      , docker, 6/18/26, Low     , 6/18/26
Have language and embedding model lists but global across all users                                       , docker, 6/18/26, Low     , 6/18/26
Fix issue with multi column PDFs                                                                          , rag   , 6/19/26, High    , 6/21/26
Fix issue with rotate page PDFs                                                                           , rag   , 6/19/26, High    , 6/22/26*
Add score page quality to metadata                                                                        , rag   , 6/19/26, High    , 6/23/26
Add multimodal re-extraction                                                                              , rag   , 6/19/26, Low     , 
Add multimodal first extraction                                                                           , rag   , 6/19/26, Low     , 6/25/26
Implement celery library for concurrent uploads                                                           , docker, 6/20/26, Medium  , 
Create Database tab for investigating Database chunks                                                     , ui    , 6/20/26, Medium  , 6/21/26
Create Quarantine Database for low score pages                                                            , rag   , 6/20/26, Medium  , 6/23/26
Clean up IDs to be Rule_System:Book_Title:Page_ID:Page_Chunk_ID:All_Chunk_ID                              , rag   , 6/21/26, High    , 6/22/26
Clean up and simplify rag pipeline as some code feels redundant                                           , git   , 6/21/26, Low     , 
Add re-summary ability to management tab                                                                  , rag   , 6/21/26, High    , 6/21/26
Clear database entries when a rule system is deleted                                                      , rag   , 6/21/26, Low     , 6/24/26
Clear textbox when new rule system is selected                                                            , ui    , 6/23/26, Low     , 6/23/26
Clear textbox when new book is selected                                                                   , ui    , 6/23/26, Low     , 6/24/26
Clear textbox when new chunk is selected                                                                  , ui    , 6/23/26, Low     , 6/24/26
Update Summary metadata to include chunk scores so as to avoid errors - though get does solve some of this, rag   , 6/24/26, Medium  , 6/25/26
Establish new log levels for events beyond info | warning | critical | error                              , log   , 6/25/26, Medium  , 
Add ability to create new users                                                                           , ui    , 6/29/26, Low     , 6/29/26
Add ability to delete old users                                                                           , ui    , 6/29/26, Low     , 
Add ability to change user password                                                                       , ui    , 6/29/26, Low     , 6/29/26
